cloneId	geneSymbol	T0_A	T0_B	T0_C	T16_A	T16_B	T16_C
TRCN0000008888	GPR35	17	18	14	3	1	1
TRCN0000008889	GPR35	27	22	30	9	22	26
TRCN0000008890	GPR35	31	30	29	20	10	18
TRCN0000008891	GPR35	11	11	11	14	17	45
TRCN0000011611	GPR55	6	6	11	1	1	2
TRCN0000011612	GPR55	12	11	18	12	17	3
TRCN0000011613	GPR55	5	5	5	1	1	2
TRCN0000011614	GPR55	17	16	16	134	26	23
TRCN0000029369	GRB2	26	25	34	3	3	5
TRCN0000029370	GRB2	17	18	13	35	17	35
TRCN0000029372	GRB2	6	7	4	1	1	3
TRCN0000029373	GRB2	24	27	29	7	10	30
TRCN0000009024	GRM5	7	6	8	16	10	8
TRCN0000009025	GRM5	16	16	12	1	1	1
TRCN0000009026	GRM5	7	5	10	2	15	21
TRCN0000046423	GSR	5	6	10	6	12	1
TRCN0000046424	GSR	11	10	9	1	2	1
TRCN0000046425	GSR	8	8	8	5	2	7
TRCN0000046426	GSR	6	5	4	1	1	7
TRCN0000046427	GSR	10	12	11	4	5	13
TRCN0000017378	GTF2A1L	12	14	17	110	4	4
TRCN0000017379	GTF2A1L	19	19	21	5	11	22
TRCN0000017380	GTF2A1L	23	24	39	2	4	5
TRCN0000017381	GTF2A1L	11	11	12	2	1	5
TRCN0000017382	GTF2A1L	19	21	14	24	105	75
TRCN0000048039	GTPBP5	25	18	31	30	63	44
TRCN0000048040	GTPBP5	18	8	30	9	15	15
TRCN0000048041	GTPBP5	17	14	27	24	43	19
TRCN0000048042	GTPBP5	17	17	21	8	17	10
TRCN0000006817	GZMH	13	11	15	12	24	35
TRCN0000006818	GZMH	18	19	25	47	41	64
TRCN0000006819	GZMH	24	25	18	21	41	77
TRCN0000006820	GZMH	32	31	25	7	30	13
TRCN0000006821	GZMH	18	19	13	4	3	12
TRCN0000006827	GZMM	5	7	8	2	3	1
TRCN0000006828	GZMM	7	4	5	1	3	1
TRCN0000006829	GZMM	5	5	5	14	53	1
TRCN0000046123	HAO2	9	9	5	15	26	2
TRCN0000046124	HAO2	13	13	15	114	73	49
TRCN0000046125	HAO2	9	9	6	24	47	49
TRCN0000046127	HAO2	8	9	11	17	6	15
TRCN0000045723	HARS	15	9	15	2	8	11
TRCN0000045724	HARS	9	8	7	11	3	24
TRCN0000045725	HARS	13	13	12	47	20	42
TRCN0000045727	HARS	20	22	23	3	14	11
TRCN0000060028	HEPH	14	14	11	3	2	2
TRCN0000060029	HEPH	43	40	49	151	121	150
TRCN0000060030	HEPH	31	34	19	15	24	19
TRCN0000060031	HEPH	8	8	6	4	4	6
TRCN0000060032	HEPH	21	20	29	11	4	8
TRCN0000074173	HEXIM1	9	9	9	5	8	2
TRCN0000074174	HEXIM1	17	15	11	3	1	3
TRCN0000074175	HEXIM1	13	13	10	2	2	6
TRCN0000074176	HEXIM1	5	6	8	5	3	1
TRCN0000106805	HIST1H1B	11	9	9	4	5	4
TRCN0000106806	HIST1H1B	6	7	6	24	22	36
TRCN0000106808	HIST1H1B	7	7	8	1	3	2
TRCN0000106809	HIST1H1B	17	18	19	44	35	33
TRCN0000106760	HIST1H2AH	9	9	16	4	46	3
TRCN0000106761	HIST1H2AH	9	8	15	31	7	9
TRCN0000106763	HIST1H2AH	8	10	14	5	6	6
TRCN0000106764	HIST1H2AH	13	14	17	30	11	19
TRCN0000106775	HIST1H3I	10	10	8	11	1	3
TRCN0000106776	HIST1H3I	10	9	9	3	2	3
TRCN0000106777	HIST1H3I	5	5	7	2	1	2
TRCN0000106778	HIST1H3I	6	7	7	2	1	1
TRCN0000106779	HIST1H3I	13	13	17	4	2	4
TRCN0000057278	HLA-DRB3	7	8	5	1	1	1
TRCN0000057280	HLA-DRB3	13	13	8	5	7	10
